Type: ,game
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_cf3c3a6b96913e396414964c98c097fee050e165.1920x1080.jpg?t=1707247620
Screenshot ID: ,10
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_53252338714e8d8814fdb1257fe0918db5b9e461.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_53252338714e8d8814fdb1257fe0918db5b9e461.1920x1080.jpg?t=1707247620
Screenshot ID: ,11
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_31dc2ed4420024453a241b6ee570c8b0ce734122.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_31dc2ed4420024453a241b6ee570c8b0ce734122.1920x1080.jpg?t=1707247620
Screenshot ID: ,12
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_0569f601cbf40f13086438688bf8b1af78f65fbd.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_0569f601cbf40f13086438688bf8b1af78f65fbd.1920x1080.jpg?t=1707247620
Screenshot ID: ,13
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_6c48757b344fa39768a7869dd109dc85d0555200.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_6c48757b344fa39768a7869dd109dc85d0555200.1920x1080.jpg?t=1707247620
Screenshot ID: ,14
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_b4d103bdae634ac1f0978525598373301499b72b.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_b4d103bdae634ac1f0978525598373301499b72b.1920x1080.jpg?t=1707247620
Screenshot ID: ,15
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_8f4b6b670e8700d528e686d896e712a7af3bf18a.600x338.jpg?t=1707247620
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135030/ss_8f4b6b670e8700d528e686d896e712a7af3bf18a.1920x1080.jpg?t=1707247620

