Type: ,game
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_32c2c8252a088d4279d465e5a425d51373e0ae3f.1920x1080.jpg?t=1664522577
Screenshot ID: ,8
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_f789a3a37e28fd1b772e85bc8131a93e0d57cfe7.600x338.jpg?t=1664522577
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_f789a3a37e28fd1b772e85bc8131a93e0d57cfe7.1920x1080.jpg?t=1664522577
Screenshot ID: ,9
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_fa29d4630fb40f69a1e46b2e678f776641f428c3.600x338.jpg?t=1664522577
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_fa29d4630fb40f69a1e46b2e678f776641f428c3.1920x1080.jpg?t=1664522577
Screenshot ID: ,10
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_ad87821009ece73ecf732bb7c6aaa58620f39a97.600x338.jpg?t=1664522577
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2134280/ss_ad87821009ece73ecf732bb7c6aaa58620f39a97.1920x1080.jpg?t=1664522577

